City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Laguna,US,81.61,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
8,Anori,BR,75.6,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
10,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Poanas,MX,82.33,broken clouds,25.7667,-103.6167,La Quienta El Enjambre
12,Dingle,PH,87.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
13,Myitkyina,MM,87.08,broken clouds,25.3833,97.4,Shwe Phyu Hotel
14,Acaponeta,MX,79.36,overcast clouds,22.4964,-105.3594,Hotel Casa Blanca
17,Rupert,US,77.07,clear sky,42.6191,-113.6772,Uptown Motel
18,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
24,Georgetown,MY,87.75,scattered clouds,5.4112,100.3354,Cititel Penang
28,Rikitea,PF,74.82,light rain,-23.1203,-134.9692,People ThankYou
30,Faanui,PF,78.57,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
31,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
32,Sidi Ali,DZ,73.42,clear sky,36.0998,0.4206,Complexe touristique haje bezine
33,Salalah,OM,74.86,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
37,Camopi,GF,72.09,overcast clouds,3.1655,-52.3158,La pousada
38,Punta Gorda,US,79.0,clear sky,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
39,Pochutla,MX,75.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
42,Cartagena,CO,82.02,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
43,Vaini,TO,74.12,overcast clouds,-21.2,-175.2,Keleti Beach Resort
45,Finschhafen,PG,83.82,overcast clouds,-6.6024,147.8681,Cossam Guest House
46,Kefamenanu,ID,81.97,clear sky,-9.4467,124.4781,Sokowindo Losmen
49,Olga,RU,79.0,scattered clouds,43.7444,135.2892,Gostinitsa Rosmorport.
50,Lorengau,PG,85.51,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
55,Amuntai,ID,84.88,overcast clouds,-2.4177,115.2494,Hotel Balqis
56,Sorong,ID,85.68,broken clouds,-0.8833,131.25,Waigo Splash Hotel
58,Gibsons,CA,86.32,clear sky,49.3997,-123.5027,Cedars Inn Hotel & Convention Center
61,Chippewa Falls,US,73.58,overcast clouds,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
62,Hithadhoo,MV,76.14,overcast clouds,-0.6,73.0833,Scoop Guest House
63,Cabedelo,BR,72.27,light rain,-6.9811,-34.8339,Pousada Camboinha
65,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
66,Pafos,CY,74.98,clear sky,34.7667,32.4167,Elysium Hotel
68,Uthal,PK,82.24,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
72,Kavieng,PG,85.33,broken clouds,-2.5744,150.7967,Nusa Island Retreat
75,Beyneu,KZ,81.09,clear sky,45.3167,55.2,NUR
78,Kalmunai,LK,84.24,overcast clouds,7.4167,81.8167,VS Villa
81,Luganville,VU,82.76,few clouds,-15.5333,167.1667,The Espiritu Hotel
87,Nyurba,RU,88.88,clear sky,63.2842,118.3319,"Гостиница ""Comfort"""
88,Manggar,ID,83.77,light rain,-2.8833,108.2667,Guest Hotel
90,Butaritari,KI,82.24,clear sky,3.0707,172.7902,Isles Sunset Lodge
93,Takoradi,GH,74.52,light rain,4.8845,-1.7554,Raybow International Hotel
94,Sri Aman,MY,78.85,heavy intensity rain,1.2376,111.4621,Seri Simanggang Hotel
95,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
97,Marshall,US,82.71,clear sky,34.3834,-86.3333,Riverview Campground
103,Nepa Nagar,IN,78.04,overcast clouds,21.4667,76.4,Nemade Farm House Siwal
105,Santa Lucia,ES,79.92,clear sky,27.9117,-15.5407,Las Tirajanas
108,Tura,IN,81.41,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
116,Namangan,UZ,88.25,clear sky,40.9983,71.6726,SPA ЦЕНТР BALI
118,Bengkulu,ID,83.75,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
119,Carnarvon,AU,72.16,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
120,Billings,US,76.77,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
123,Sal Rei,CV,77.97,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
127,Korcula,HR,76.3,broken clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
132,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
136,Tricase,IT,76.35,clear sky,39.9304,18.3553,Hotel Adriatico
137,Ribeira Grande,PT,73.9,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
138,Sao Filipe,CV,77.09,broken clouds,14.8961,-24.4956,Hotel Xaguate
147,Nha Trang,VN,84.2,heavy intensity rain,12.25,109.1833,Hanoi Golden Hotel
148,Abu Dhabi,AE,87.96,clear sky,24.4667,54.3667,Beach Rotana
149,Ust-Tarka,RU,75.99,overcast clouds,55.5672,75.705,Pearl of Siberia
