City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-07-26 03:34:42,-21.2,-175.2,78.96,83,40,9.22
1,Mataura,NZ,2022-07-26 03:34:17,-46.1927,168.8643,45.48,97,100,10.54
2,Bambous Virieux,MU,2022-07-26 03:33:58,-20.3428,57.7575,67.21,94,75,3.44
3,Avarua,CK,2022-07-26 03:32:50,-21.2078,-159.775,73.45,60,20,8.05
4,Kapaa,US,2022-07-26 03:34:16,22.0752,-159.319,84.18,71,75,14.97
5,Maniitsoq,GL,2022-07-26 03:36:24,65.4167,-52.9,41.05,95,97,14.14
6,Dali,CN,2022-07-26 03:40:58,25.7,100.1833,73.38,65,80,4.7
7,Champerico,GT,2022-07-26 03:40:45,14.3,-91.9167,79.77,78,74,3.0
8,Hermanus,ZA,2022-07-26 03:34:27,-34.4187,19.2345,55.4,49,2,8.37
9,Yanggu,CN,2022-07-26 03:40:59,36.1106,115.7753,85.77,66,31,5.93
10,Vostok,RU,2022-07-26 03:36:35,46.4856,135.8833,75.88,60,81,3.42
11,Cherskiy,RU,2022-07-26 03:35:39,68.75,161.3,55.45,42,47,18.66
12,Rikitea,PF,2022-07-26 03:32:01,-23.1203,-134.9692,75.33,74,67,10.18
13,Kyra,RU,2022-07-26 03:40:59,49.5776,111.9753,62.4,87,100,5.17
14,Beloha,MG,2022-07-26 03:38:56,-25.1667,45.05,60.64,82,5,4.0
15,Alofi,NU,2022-07-26 03:35:41,-19.0595,-169.9187,75.09,64,75,16.11
16,Tasiilaq,GL,2022-07-26 03:35:05,65.6145,-37.6368,39.36,89,100,2.39
17,Thompson,CA,2022-07-26 03:34:38,55.7435,-97.8558,59.16,94,75,2.3
18,Barrow,US,2022-07-26 03:34:51,71.2906,-156.7887,35.62,93,100,28.77
19,Namibe,AO,2022-07-26 03:35:14,-15.1961,12.1522,61.29,81,5,7.96
20,Lebu,CL,2022-07-26 03:32:38,-37.6167,-73.65,53.29,87,27,25.1
21,Meulaboh,ID,2022-07-26 03:41:00,4.1363,96.1285,78.24,85,100,1.54
22,Tiksi,RU,2022-07-26 03:35:07,71.6872,128.8694,54.23,76,92,3.27
23,Ucluelet,CA,2022-07-26 03:33:41,48.9329,-125.5528,64.98,87,9,4.88
24,Arraial Do Cabo,BR,2022-07-26 03:35:57,-22.9661,-42.0278,70.21,87,7,19.06
25,Chokurdakh,RU,2022-07-26 03:34:43,70.6333,147.9167,64.89,30,47,13.44
26,Constitucion,CL,2022-07-26 03:33:06,-35.3333,-72.4167,52.81,94,100,19.01
27,Albany,US,2022-07-26 03:30:01,42.6001,-73.9662,69.37,68,0,5.39
28,Kungurtug,RU,2022-07-26 03:41:02,50.5994,97.5228,59.36,42,64,7.78
29,Atuona,PF,2022-07-26 03:34:43,-9.8,-139.0333,77.77,67,0,11.3
30,Tuktoyaktuk,CA,2022-07-26 03:35:24,69.4541,-133.0374,59.0,72,75,19.57
31,Berlevag,NO,2022-07-26 03:34:18,70.8578,29.0864,59.0,88,100,8.05
32,Hobyo,SO,2022-07-26 03:40:38,5.3505,48.5268,75.56,78,77,19.98
33,Chuy,UY,2022-07-26 03:32:22,-33.6971,-53.4616,57.33,97,100,9.19
34,Georgetown,MY,2022-07-26 03:30:58,5.4112,100.3354,87.73,74,20,4.61
35,Makakilo City,US,2022-07-26 03:40:38,21.3469,-158.0858,84.52,55,40,13.8
36,Deputatskiy,RU,2022-07-26 03:32:59,69.3,139.9,62.26,61,99,6.33
37,Naldurg,IN,2022-07-26 03:41:03,17.8167,76.3,76.78,77,100,13.44
38,Hobart,AU,2022-07-26 03:34:20,-42.8794,147.3294,60.26,72,40,5.75
39,Kuching,MY,2022-07-26 03:41:04,1.55,110.3333,82.62,83,40,3.44
40,Chicama,PE,2022-07-26 03:41:04,-7.8447,-79.1469,59.54,86,50,5.26
