City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Saldanha,ZA,2022-07-29 02:52:29,-33.0117,17.9442,57.25,81,57,18.79,broken clouds,0.0,0.0
1,Bethel,US,2022-07-29 02:51:02,41.3712,-73.414,79.48,94,88,4.52,overcast clouds,0.0,0.0
2,Vaini,TO,2022-07-29 02:50:52,-21.2,-175.2,80.76,89,20,8.05,few clouds,0.0,0.0
3,Punta Arenas,CL,2022-07-29 02:50:40,-53.15,-70.9167,39.31,87,40,26.46,scattered clouds,0.0,0.0
4,Bluff,NZ,2022-07-29 02:50:50,-46.6,168.3333,47.8,86,99,20.38,overcast clouds,0.0,0.0
5,Busselton,AU,2022-07-29 02:50:39,-33.65,115.3333,60.66,61,90,21.99,overcast clouds,0.0,0.0
6,Bredasdorp,ZA,2022-07-29 02:46:05,-34.5322,20.0403,55.74,62,27,11.68,scattered clouds,0.0,0.0
7,Butaritari,KI,2022-07-29 02:51:03,3.0707,172.7902,82.08,73,58,14.52,broken clouds,0.0,0.0
8,Fare,PF,2022-07-29 02:53:30,-16.7,-151.0167,79.09,74,0,21.07,clear sky,0.0,0.0
9,Verkhnevilyuysk,RU,2022-07-29 02:54:48,63.4453,120.3167,86.5,38,0,10.87,clear sky,0.0,0.0
10,Puerto Ayora,EC,2022-07-29 02:51:15,-0.7393,-90.3518,69.55,94,56,1.01,broken clouds,0.0,0.0
11,Cherskiy,RU,2022-07-29 02:50:53,68.75,161.3,63.45,33,72,5.55,broken clouds,0.0,0.0
12,Ushuaia,AR,2022-07-29 02:50:39,-54.8,-68.3,40.66,81,75,14.97,light rain,0.0,0.0
13,Srednekolymsk,RU,2022-07-29 02:51:09,67.45,153.6833,68.36,29,5,10.02,clear sky,0.0,0.0
14,Yumen,CN,2022-07-29 02:51:07,40.2833,97.2,87.28,8,42,5.23,scattered clouds,0.0,0.0
15,Cape Town,ZA,2022-07-29 02:50:42,-33.9258,18.4232,57.88,84,75,23.02,broken clouds,0.0,0.0
16,Torbay,CA,2022-07-29 02:52:56,47.6666,-52.7314,55.27,93,100,11.01,overcast clouds,0.0,0.0
17,Saskylakh,RU,2022-07-29 02:51:22,71.9167,114.0833,62.46,81,100,4.61,overcast clouds,0.0,0.0
18,Esil,KZ,2022-07-29 02:54:49,51.9556,66.4042,61.34,97,100,10.18,moderate rain,0.0,0.0
19,Lixourion,GR,2022-07-29 02:54:50,38.2019,20.4314,79.95,66,0,5.08,clear sky,0.0,0.0
20,Tingi,TZ,2022-07-29 02:54:50,-11.3,35.0333,54.46,82,68,1.81,broken clouds,0.0,0.0
21,Salalah,OM,2022-07-29 02:51:19,17.0151,54.0924,74.79,90,100,6.76,overcast clouds,0.0,0.0
22,New Norfolk,AU,2022-07-29 02:50:55,-42.7826,147.0587,47.91,74,71,1.99,broken clouds,0.0,0.0
23,Churapcha,RU,2022-07-29 02:54:50,62.0025,132.4325,88.93,28,5,7.31,clear sky,0.0,0.0
24,Jamestown,US,2022-07-29 02:50:41,42.097,-79.2353,74.79,62,0,9.22,clear sky,0.0,0.0
25,Gari,RU,2022-07-29 02:54:51,59.4307,62.3497,63.64,60,9,4.94,clear sky,0.0,0.0
26,Katobu,ID,2022-07-29 02:54:51,-4.9408,122.5276,84.76,55,61,9.73,broken clouds,0.0,0.0
27,Atuona,PF,2022-07-29 02:51:53,-9.8,-139.0333,76.89,78,33,22.77,light rain,0.0,0.0
28,Bacolod,PH,2022-07-29 02:51:27,10.6667,122.95,83.91,80,99,14.43,moderate rain,0.0,0.0
29,Mataura,NZ,2022-07-29 02:50:42,-46.1927,168.8643,47.48,77,94,5.01,overcast clouds,0.0,0.0
30,Albany,US,2022-07-29 02:47:23,42.6001,-73.9662,72.79,93,4,3.53,clear sky,0.0,0.0
31,Wahiawa,US,2022-07-29 02:54:52,21.5028,-158.0236,80.76,64,75,8.05,broken clouds,0.0,0.0
32,Plettenberg Bay,ZA,2022-07-29 02:54:52,-34.0527,23.3716,57.67,69,0,7.85,clear sky,0.0,0.0
33,Port Alfred,ZA,2022-07-29 02:51:11,-33.5906,26.891,66.18,60,0,4.0,clear sky,0.0,0.0
34,Norman Wells,CA,2022-07-29 02:52:16,65.282,-126.8329,68.04,34,20,3.44,few clouds,0.0,0.0
35,Clyde River,CA,2022-07-29 02:51:17,70.4692,-68.5914,37.63,100,100,11.5,light rain,0.0,0.0
36,Bubaque,GW,2022-07-29 02:54:53,11.2833,-15.8333,78.89,83,15,17.18,light rain,0.0,0.0
37,Vila,PT,2022-07-29 02:54:53,42.0304,-8.1588,54.7,86,0,4.34,clear sky,0.0,0.0
38,Spas-Klepiki,RU,2022-07-29 02:54:54,55.1347,40.1767,63.03,97,100,7.56,overcast clouds,0.0,0.0
39,Hithadhoo,MV,2022-07-29 02:51:35,-0.6,73.0833,81.99,73,100,13.6,overcast clouds,0.0,0.0
40,Lebu,CL,2022-07-29 02:48:13,-37.6167,-73.65,47.66,87,7,19.51,clear sky,0.0,0.0
41,Namatanai,PG,2022-07-29 02:54:54,-3.6667,152.4333,84.49,69,39,12.3,scattered clouds,0.0,0.0
42,Ornskoldsvik,SE,2022-07-29 02:54:55,63.2909,18.7153,50.95,76,40,6.91,scattered clouds,0.0,0.0
43,Sao Filipe,CV,2022-07-29 02:54:55,14.8961,-24.4956,78.48,77,2,15.03,clear sky,0.0,0.0
44,Constitucion,CL,2022-07-29 02:54:55,-35.3333,-72.4167,48.31,79,0,8.9,clear sky,0.0,0.0
45,Hilo,US,2022-07-29 02:50:50,19.7297,-155.09,82.26,72,0,10.36,clear sky,0.0,0.0
