City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,2022-08-01 01:03:26,71.9167,114.0833,45.64,77,100,10.36,overcast clouds
1,Barrow,US,2022-08-01 01:03:26,71.2906,-156.7887,35.62,80,100,9.22,overcast clouds
2,Qaanaaq,GL,2022-08-01 01:03:27,77.484,-69.3632,44.74,64,100,2.48,overcast clouds
3,Phalodi,IN,2022-08-01 01:03:27,27.1333,72.3667,81.9,80,81,17.34,broken clouds
4,Bredasdorp,ZA,2022-08-01 01:03:27,-34.5322,20.0403,41.77,83,0,3.56,clear sky
5,Tuktoyaktuk,CA,2022-08-01 01:03:27,69.4541,-133.0374,50.31,76,97,12.5,overcast clouds
6,Rikitea,PF,2022-08-01 01:03:28,-23.1203,-134.9692,72.46,73,100,23.82,light rain
7,Cape Town,ZA,2022-08-01 01:03:28,-33.9258,18.4232,55.38,75,0,8.99,clear sky
8,Buraydah,SA,2022-08-01 01:03:28,26.326,43.975,84.18,51,98,12.82,overcast clouds
9,Leshukonskoye,RU,2022-08-01 00:58:36,64.8989,45.7622,57.78,97,100,2.28,overcast clouds
10,Medvedka,RU,2022-08-01 01:03:29,61.1629,46.387,53.4,96,4,4.25,clear sky
11,Mount Gambier,AU,2022-08-01 01:03:29,-37.8333,140.7667,53.49,79,5,13.65,clear sky
12,Mar Del Plata,AR,2022-08-01 01:00:30,-38.0023,-57.5575,55.09,83,14,3.0,few clouds
13,Chokurdakh,RU,2022-08-01 01:03:30,70.6333,147.9167,67.87,61,100,10.47,overcast clouds
14,Ruteng,ID,2022-08-01 01:03:30,-8.6136,120.4721,70.61,65,11,1.48,few clouds
15,Mecca,SA,2022-08-01 01:00:11,21.4267,39.8261,88.59,24,100,4.0,overcast clouds
16,Sitka,US,2022-08-01 01:03:30,57.0531,-135.33,57.09,94,100,6.91,light rain
17,Gambela,ET,2022-08-01 01:03:31,8.25,34.5833,69.28,94,100,1.5,overcast clouds
18,Taihe,CN,2022-08-01 01:03:31,30.8712,105.3845,84.2,73,46,5.53,scattered clouds
19,Doha,QA,2022-08-01 00:59:26,25.2867,51.5333,93.18,70,0,6.91,clear sky
20,Portland,US,2022-08-01 01:01:41,45.5234,-122.6762,100.99,33,0,10.36,clear sky
21,Sangar,RU,2022-08-01 01:03:32,63.9242,127.4739,68.83,80,100,12.77,light rain
22,East London,ZA,2022-08-01 00:58:49,-33.0153,27.9116,53.85,63,0,7.34,clear sky
23,Nikolskoye,RU,2022-08-01 00:59:35,59.7035,30.7861,57.79,84,100,4.32,overcast clouds
24,New Norfolk,AU,2022-08-01 01:03:32,-42.7826,147.0587,51.93,82,99,3.0,overcast clouds
25,Sioux Lookout,CA,2022-08-01 01:03:32,50.1001,-91.917,62.67,94,100,6.91,overcast clouds
26,Green River,US,2022-08-01 01:03:33,41.5286,-109.4662,91.18,10,6,1.21,clear sky
27,Deputatskiy,RU,2022-08-01 01:03:33,69.3,139.9,69.51,64,100,3.91,overcast clouds
28,Ikalamavony,MG,2022-08-01 01:03:34,-21.15,46.5833,56.5,83,0,4.92,clear sky
29,Lingao,CN,2022-08-01 01:03:34,19.9103,109.6859,84.69,71,0,4.09,clear sky
30,Paciran,ID,2022-08-01 01:03:34,-6.8767,112.3761,79.5,76,26,5.41,scattered clouds
31,Albany,US,2022-08-01 01:02:23,42.6001,-73.9662,76.46,69,100,2.48,overcast clouds
32,Okhotsk,RU,2022-08-01 01:03:35,59.3833,143.3,59.0,86,100,8.1,overcast clouds
33,Cherskiy,RU,2022-08-01 01:03:35,68.75,161.3,71.22,35,87,18.52,overcast clouds
